,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
"DAIHATSU
,DAA-AVC10,,,,2014.10,2WD,300h,,,,,,,,,,,,2AR-FSE,,,,2500,,,,4.5,,MJ-P02,MJ-102,,,MO-118,,CVT,,,3.8,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,1.35,
,DBA-GSC10,,,,2014.10,2WD,350,,,,,,,,,,,,2GR-FSE,,,,3500,,,,6.2,,MJ-P02,MJ-102,,,MO-116,,AT,,,9.5,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,1.35,
,DBA-USC10,,,,2014.10,2WD,F,,,,,,,,,,,,2UR-GSE,,,,5000,,,,9.3,,MJ-P01,MJ-101,,,MO-0071,,AT,,,11.2,,,MJ-325,,,MJ-331,,,,,MJ-331,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-111,,,,,,,,,,,,,,,,,,,,0.7/0.7*,,,1.35,
,DBA-ASC10,,,,2015.10,2WD,200t Turbo,,,,,,,,,,,,8AR-FTS,,,,2000,,,,4.6,,MJ-P02,MJ-102,,,MO-118,,AT,,,8.7,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,1.35,
,DAA-AVC10,,,,2015.10,2WD,300h,,,,,,,,,,,,2AR-FSE,,,,2500,,,,4.5,,MJ-P02,MJ-102,,,MO-118,,CVT,,,3.8,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,1.35,
,DBA-GSC10,,,,2015.10,2WD,350,,,,,,,,,,,,2GR-FSE,,,,3500,,,,6.2,,MJ-P02,MJ-102,,,MO-116,,AT,,,9.5,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,1.35,
,DBA-USC10,,,,2015.10,2WD,F,,,,,,,,,,,,2UR-GSE,,,,5000,,,,9.3,,MJ-P01,MJ-101,,,MO-0071,,AT,,,11.2,,,MJ-325,,,MJ-331,,,,,MJ-331,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-111,,,,,,,,,,,,,,,,,,,,0.7/0.7*,,,1.35,
,DBA-ASC10,,,,2017.11,2WD,300,,,,,,,,,,,,8AR-FTS,,,,2000,,,,4.6,,MJ-P02,MJ-102,,,MO-118,,AT,,,8.7,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,1.35,
,DBA-GSC10,,,,2017.11,2WD,350,,,,,,,,,,,,2GR-FKS,,,,3500,,,,5.7,,MJ-P02,MJ-102,,,MO-118,,AT,,,9.5,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,1.35,
,DAA-AVC10,,,,2017.11,2WD,300h,,,,,,,,,,,,2AR-FSE,,,,2500,,,,4.5,,MJ-P02,MJ-102,,,MO-118,,CVT,,,3.8,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,1.35,
,DBA-USC10,,,,2017.11,2WD,F,,,,,,,,,,,,2UR-GSE,,,,5000,,,,8.8,,MJ-P01,MJ-101,,,MO-0071,,AT,,,11.2,,,MJ-325,,,MJ-331,,,,,MJ-331,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-111,,,,,,,,,,,,,,,,,,,,0.7/0.7*,,,1.35,
"*TVD Torque moving parts
RX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MCU15R/L,,,,2000.7,4WD,300,,,,,,,,,,,,1MZ-FE,,,,3000,,,,4.7,,MJ-102,MJ-M02,,,MC-111J,,AT,,,8.7,,,MJ-325,,,MJ-331,,,,,MJ-410,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,0.9,,,0.9,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MCU35R/L,,,,2003.2,4WD,300,,,,,,,,,,,,1MZ-FE,,,,3000,,,,4.7,,MJ-102,MJ-M02,,,MC-111J,,AT,,,9.0-9.1,,,MJ-325,,,MJ-331,,,,,MJ-410,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,0.9,,,0.9,
,MCU38R/L,,,,2003.2,4WD,330,,,,,,,,,,,,3MZ-FE,,,,3300,,,,4.7,,MJ-102,MJ-M02,,,MC-111J,,AT,,,9.0,,,MJ-325,,,MJ-331,,,,,MJ-410,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,0.9,,,0.9,
,MHU38R/L,,,,2005.3,4WD,400h,,,,,,,,,,,,3MZ-FE,,,,3300,,,,4.7,,MJ-102,MJ-M02,,,MC-111J,,CVT,,,FR,,,MJ-325,,,MJ-331,4.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,RR,,,MJ-325,,,MJ-331,1.8,,,,,,,,
,GSU35R/L,,,,2006.1,4WD,350,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,AT,,,9.0,,,MJ-325,,,MJ-331,,,,,MJ-410,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,0.9,,,0.9,
,DBA-GGL10W,,,,2009.1,2WD,350,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,AT,,,6.5,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GGL15W DBA-GGL16W,,,,2009.1,4WD,350 / 350 “version L Air suspension”,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,AT,,,6.7,,,MJ-325,,,MJ-331,,,,,MJ-415,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,0.8,,,0.5,
,DAA-GYL15W DAA-GYL16W,,,,2009.4,4WD,450h / 450h “version L Air suspen- sion”,,,,,,,,,,,,2GR-FXE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,CVT,,,FR,,,MJ-325,,,MJ-331,4.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,RR,,,MJ-325,,,MJ-331,1.8,,,,,,,,
,DAA-GYL10W,,,,2009.10,2WD,450h,,,,,,,,,,,,2GR-FXE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,CVT,,,4.6,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,,,,,
,DBA-AGL10W,,,,2010.8,2WD,270,,,,,,,,,,,,1AR-FE,,,,2700,,,,4.4,,MJ-102,MJ-M02,,,MO-118,,AT,,,6.5,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,,,,,
,DBA-AGL10W,,,,2011.7,2WD,270,,,,,,,,,,,,1AR-FE,,,,2700,,,,4.4,,MJ-102,MJ-M02,,,MO-118,,AT,,,6.5,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GGL10W,,,,2011.7,2WD,350,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,AT,,,6.5,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GGL15W DBA-GGL16W,,,,2011.7,4WD,350 / 350 “version L Air suspension”,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,AT,,,6.7,,,MJ-325,,,MJ-331,,,,,MJ-415,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,0.8,,,0.5,
,DAA-GYL10W,,,,2011.7,2WD,450h,,,,,,,,,,,,2GR-FXE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,CVT,,,4.6,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,,,,,
,DAA-GYL15W DAA-GYL16W,,,,2011.7,4WD,450h / 450h “version L Air suspen- sion”,,,,,,,,,,,,2GR-FXE,,,,3500,,,,6.1,,MJ-102,MJ-M02,,,MO-118,,CVT,,,FR,,,MJ-325,,,MJ-331,4.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,RR,,,MJ-325,,,MJ-331,1.8,,,,,,,,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBA-AGL10W,,,,2012.4,2WD,270,,,,,,,,,,,,1AR-FE,,,,2700,,,,4.4,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.5,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GGL10W,,,,2012.4,2WD,350,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.5,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GGL15W,,,,2012.4,4WD,350,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.7,,,MJ-325,,,MJ-331,,,,,MJ-415,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,0.8,,,0.5,
,DAA-GYL10W,,,,2012.4,2WD,450h,,,,,,,,,,,,2GR-FXE,,,,3500,,,,6.1,,MJ-P02,MJ-102,,,MO-118,,CVT,,,4.6,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DAA-GYL15W DAA-GYL16W,,,,2012.4,4WD,450h / 450h “version L Air suspen- sion”,,,,,,,,,,,,2GR-FXE,,,,3500,,,,6.1,,MJ-P02,MJ-102,,,MO-118,,CVT,,,FR,,,MJ-325,,,MJ-331,4.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,RR,,,MJ-325,,,MJ-331,1.8,,,,,,,,
,DBA-AGL10W,,,,2013.8,2WD,270,,,,,,,,,,,,1AR-FE,,,,2700,,,,4.4,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.5,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GGL10W,,,,2013.8,2WD,350,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.5,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GGL15W,,,,2013.8,4WD,350,,,,,,,,,,,,2GR-FE,,,,3500,,,,6.1,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.7,,,MJ-325,,,MJ-331,,,,,MJ-415,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,0.8,,,0.5,
,DAA-GYL10W,,,,2013.8,2WD,450h,,,,,,,,,,,,2GR-FXE,,,,3500,,,,6.1,,MJ-P02,MJ-102,,,MO-118,,CVT,,,4.6,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DAA-GYL15W DAA-GYL16W,,,,2013.8,4WD,450h / 450h “version L Air suspen- sion”,,,,,,,,,,,,2GR-FXE,,,,3500,,,,6.1,,MJ-P02,MJ-102,,,MO-118,,CVT,,,FR,,,MJ-325,,,MJ-331,4.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,RR,,,MJ-325,,,MJ-331,1.8,,,,,,,,
,DBA-AGL20W,,,,2015.10,2WD,200t Turbo,,,,,,,,,,,,8AR-FTS,,,,2000,,,,4.9,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.7,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DBA-AGL25W,,,,2015.10,4WD,200t Turbo  AWD,,,,,,,,,,,,8AR-FTS,,,,2000,,,,4.9,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.7,,,MJ-325,,,MJ-331,,,,,MJ-415,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,0.8,,,0.5,
,DAA-GYL20W,,,,2015.10,2WD,450h,,,,,,,,,,,,2GR-FXS,,,,3500,,,,5.4,,MJ-P02,MJ-102,,,MO-118,,CVT,,,4.8,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DAA-GYL25W,,,,2015.10,4WD,450h E-Four 4WD,,,,,,,,,,,,2GR-FXS,,,,3500,,,,5.4,,MJ-P02,MJ-102,,,MO-118,,CVT,,,FR,,,MJ-325,,,MJ-331,4.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,RR,,,MJ-325,,,MJ-331,1.8,,,,,,,,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBA-AGL20W,,,,2017.12,2WD,300,,,,,,,,,,,,8AR-FTS,,,,2000,,,,4.9,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.7,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DBA-AGL25W,,,,2017.12,4WD,300  AWD,,,,,,,,,,,,8AR-FTS,,,,2000,,,,4.9,,MJ-P02,MJ-102,,,MO-118,,AT,,,6.7,,,MJ-325,,,MJ-331,,,,,MJ-415,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,,,,,,,,,,,,0.8,,,0.5,
,DAA-GYL25W DAA-GYL26W,,,,2017.12,4WD,450h / hL E-Four 4WD,,,,,,,,,,,,2GR-FXS,,,,3500,,,,5.4,,MJ-P02,MJ-102,,,MO-118,,CVT,,,FR,,,MJ-325,,,MJ-331,4.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,MJ-103,,,,,,,,RR,,,MJ-325,,,MJ-331,1.8,,,,,,,,
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBA-UZZ40,,,,2008.8,2WD,430,,,,,,,,,,,,3UZ-FE,,,,4300,,,,5.2,,MJ-100,MJ-M11,,,MC-114J,,AT,,,8.6,,,MJ-325,,,MJ-331,,,,,,,,MJ-410,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-101,MJ-120,,,,,,,,,,,,,,,,,,,,,,1.35,
,DBA-UZZ40,,,,2009.8,2WD,430,,,,,,,,,,,,3UZ-FE,,,,4300,,,,5.2,,MJ-102,MJ-M02,,,MC-114J,,AT,,,8.6,,,MJ-325,,,MJ-331,,,,,,,,MJ-415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-120,,,,,,,,,,,,,,,,,,,,,,1.35,
UX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6BA-MZAA10,,,,2018.11,2WD,200,,,,,,,,,,,,M20A-FKS,,,,2000,,,,4.6,,,MJ-P02,,,MC-118,,CVT,,,8.5,,,,,,MJ-311,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,,,,,,,,,,,,,,,,,,,,,,,
,6AA-MZAH10,,,,2018.11,2WD,250h,,,,,,,,,,,,M20A-FXS,,,,2000,,,,4.3,,,MJ-P02,,,MC-118,,CVT,,,3.8,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,,,,,,,,,,,,,,,,,,,,,,,
,6AA-MZAH15,,,,2018.11,4WD,250h E-Four 4WD,,,,,,,,,,,,2GR-FXS,,,,3500,,,,4.3,,,MJ-P02,,,MO-118,,CVT,,,FR,,,MJ-325,,,MJ-331,3.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-110,,,,,,,,RR,,,MJ-325,,,MJ-331,1.8,,,,,,,,
FR-front transaxle RR-rear tranaxle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
"MAZDA
Atenza, Mazda 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LA-GGEP LA-GGES,,,,2002.5,2WD,Sedan 20C/F/Sport 20F,,,,,,,,,,,,LF-DE,,,,2000,,,,3.9,,MJ-M02,MJ-120,,,,,AT,,,7.2,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,LA-GG3P LA-GG3S,,,,2002.5,2WD,Sedan 23E/Sedan 23E Luxury Pack- age/Sport 23C/S,,,,,,,,,,,,L3-VE,,,,2300,,,,3.1,,MJ-M02,MJ-120,,,,,AT,,,7.2,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,LA-GYEW,,,,2002.6,2WD,Wagon 20F,,,,,,,,,,,,LF-DE,,,,2000,,,,3.9,,MJ-M02,MJ-120,,,,,AT,,,7.2,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,LA-GY3W,,,,2002.6,2WD,Wagon 23C/S,,,,,,,,,,,,L3-VE,,,,2300,,,,3.1,,MJ-M02,MJ-120,,,,,AT,,,7.2,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,LA-GY3W,,,,2002.8,4WD,Wagon 23C/S,,,,,,,,,,,,L3-VE,,,,2300,,,,3.1,,MJ-M02,MJ-120,,,,,AT,,,8.3,,,MJ-328,,,MJ-323,,,,,MJ-431,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,1.0,,,0.62,
,LA-GG3S LA-GY3W,,,,2002.10,2WD,Sport 23S 5MT/Sport Wagon 23S 5MT,,,,,,,,,,,,L3-VE,,,,2300,,,,3.1,,MJ-M02,MJ-120,,,,,MT,,,2.87,,,,,,MJ-443,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,LA-GG3S LA-GY3W,,,,2003.7,2WD,Sport 23Z/Sport Wagon 23Z,,,,,,,,,,,,L3-VE,,,,2300,,,,4.0,,MJ-M02,MJ-120,,,,,AT,,,7.2,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,LA-GG3S LA-GY3W,,,,2003.7,2WD,Sport 23Z/Sport Wagon 23Z,,,,,,,,,,,,L3-VE,,,,2300,,,,4.0,,MJ-M02,MJ-120,,,,,MT,,,2.87,,,,,,MJ-443,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GGEP DBA-GG3S DBA-GYEW,,,,2005.6,2WD,Sedan 20C/E/F/Sport 20C/Sport Wagon 20C/F,,,,,,,,,,,,LF-VE,,,,2000,,,,3.9,,MJ-M02,MJ-120,,,,,AT,,,8.14,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GG3P DBA-GG3S DBA-GY3W,,,,2005.6,2WD,Sedan 23EX/Sport 23EX/S/Z/Sport Wagon 23EX/S/Z,,,,,,,,,,,,L3-VE,,,,2300,,,,4.0,,MJ-M02,MJ-120,,,,,AT,,,8.14,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,,
,DBA-GG3S DBA-GY3W,,,,2005.6,2WD,Sport 23S/Z/Sport Wagon 23S/Z,,,,,,,,,,,,L3-VE,,,,2300,,,,4.0,,MJ-M02,MJ-120,,,,,MT,,,2.95,,,,,,MJ-443,,,,,,,,,
